============================================================
✓ Using cached sleep-edf
Data: train=(313922, 24) val=(66753, 24) test=(72330, 24)
Model: 12,165 params

DP Training
  Noise multiplier: 0.6
  Max grad norm: 1.0
  Delta: 1e-05
  Epochs: 60

Epoch 01: loss=0.9171 acc=0.7606 | val_loss=0.8229 val_acc=0.8143 | ε=1.2803
Epoch 02: loss=0.8251 acc=0.8070 | val_loss=0.7794 val_acc=0.8326 | ε=1.5047
Epoch 03: loss=0.8012 acc=0.8208 | val_loss=0.7743 val_acc=0.8380 | ε=1.6520
Epoch 04: loss=0.7917 acc=0.8250 | val_loss=0.7671 val_acc=0.8397 | ε=1.7666
Epoch 05: loss=0.7851 acc=0.8275 | val_loss=0.7712 val_acc=0.8427 | ε=1.8630
Epoch 06: loss=0.7715 acc=0.8314 | val_loss=0.7619 val_acc=0.8442 | ε=1.9479
Epoch 07: loss=0.7651 acc=0.8326 | val_loss=0.7478 val_acc=0.8444 | ε=2.0247
Epoch 08: loss=0.7528 acc=0.8349 | val_loss=0.7503 val_acc=0.8461 | ε=2.0956
Epoch 09: loss=0.7542 acc=0.8364 | val_loss=0.7418 val_acc=0.8469 | ε=2.1619
Epoch 10: loss=0.7509 acc=0.8360 | val_loss=0.7584 val_acc=0.8470 | ε=2.2246
Epoch 11: loss=0.7451 acc=0.8372 | val_loss=0.7571 val_acc=0.8470 | ε=2.2844
Epoch 12: loss=0.7412 acc=0.8386 | val_loss=0.7509 val_acc=0.8487 | ε=2.3417
Epoch 13: loss=0.7359 acc=0.8396 | val_loss=0.7371 val_acc=0.8484 | ε=2.3970
Epoch 14: loss=0.7375 acc=0.8396 | val_loss=0.7275 val_acc=0.8497 | ε=2.4505
Epoch 15: loss=0.7294 acc=0.8402 | val_loss=0.7366 val_acc=0.8500 | ε=2.5025
Epoch 16: loss=0.7362 acc=0.8401 | val_loss=0.7376 val_acc=0.8517 | ε=2.5531
Epoch 17: loss=0.7304 acc=0.8413 | val_loss=0.7217 val_acc=0.8522 | ε=2.6026
Epoch 18: loss=0.7365 acc=0.8405 | val_loss=0.7365 val_acc=0.8524 | ε=2.6510
Epoch 19: loss=0.7327 acc=0.8415 | val_loss=0.7220 val_acc=0.8522 | ε=2.6984
Epoch 20: loss=0.7327 acc=0.8420 | val_loss=0.7472 val_acc=0.8516 | ε=2.7449
Epoch 21: loss=0.7273 acc=0.8430 | val_loss=0.7157 val_acc=0.8534 | ε=2.7907
Epoch 22: loss=0.7250 acc=0.8424 | val_loss=0.7193 val_acc=0.8541 | ε=2.8357
Epoch 23: loss=0.7260 acc=0.8425 | val_loss=0.7322 val_acc=0.8543 | ε=2.8800
Epoch 24: loss=0.7202 acc=0.8453 | val_loss=0.7324 val_acc=0.8537 | ε=2.9237
Epoch 25: loss=0.7162 acc=0.8443 | val_loss=0.7318 val_acc=0.8531 | ε=2.9668
Epoch 26: loss=0.7214 acc=0.8450 | val_loss=0.7337 val_acc=0.8544 | ε=3.0094
Epoch 27: loss=0.7220 acc=0.8443 | val_loss=0.7341 val_acc=0.8546 | ε=3.0514
Epoch 28: loss=0.7177 acc=0.8465 | val_loss=0.7424 val_acc=0.8548 | ε=3.0930
Epoch 29: loss=0.7197 acc=0.8458 | val_loss=0.7258 val_acc=0.8540 | ε=3.1340
Epoch 30: loss=0.7154 acc=0.8474 | val_loss=0.7281 val_acc=0.8545 | ε=3.1746
Epoch 31: loss=0.7139 acc=0.8475 | val_loss=0.7347 val_acc=0.8558 | ε=3.2149
Epoch 32: loss=0.7209 acc=0.8475 | val_loss=0.7417 val_acc=0.8557 | ε=3.2547
Epoch 33: loss=0.7169 acc=0.8475 | val_loss=0.7243 val_acc=0.8570 | ε=3.2941
Epoch 34: loss=0.7150 acc=0.8481 | val_loss=0.7339 val_acc=0.8570 | ε=3.3331
Epoch 35: loss=0.7196 acc=0.8491 | val_loss=0.7320 val_acc=0.8571 | ε=3.3718
Epoch 36: loss=0.7163 acc=0.8488 | val_loss=0.7373 val_acc=0.8575 | ε=3.4102
Epoch 37: loss=0.7131 acc=0.8508 | val_loss=0.7443 val_acc=0.8569 | ε=3.4482
Epoch 38: loss=0.7143 acc=0.8501 | val_loss=0.7358 val_acc=0.8567 | ε=3.4859
Epoch 39: loss=0.7181 acc=0.8502 | val_loss=0.7393 val_acc=0.8570 | ε=3.5233
Epoch 40: loss=0.7173 acc=0.8495 | val_loss=0.7381 val_acc=0.8570 | ε=3.5604
Epoch 41: loss=0.7189 acc=0.8503 | val_loss=0.7258 val_acc=0.8576 | ε=3.5973
Epoch 42: loss=0.7126 acc=0.8505 | val_loss=0.7286 val_acc=0.8574 | ε=3.6338
Epoch 43: loss=0.7105 acc=0.8516 | val_loss=0.7281 val_acc=0.8577 | ε=3.6701
Epoch 44: loss=0.7187 acc=0.8504 | val_loss=0.7284 val_acc=0.8580 | ε=3.7061
Epoch 45: loss=0.7130 acc=0.8514 | val_loss=0.7337 val_acc=0.8581 | ε=3.7418
Epoch 46: loss=0.7174 acc=0.8511 | val_loss=0.7255 val_acc=0.8587 | ε=3.7773
Epoch 47: loss=0.7101 acc=0.8520 | val_loss=0.7240 val_acc=0.8590 | ε=3.8126
Epoch 48: loss=0.7138 acc=0.8510 | val_loss=0.7318 val_acc=0.8592 | ε=3.8476
Epoch 49: loss=0.7101 acc=0.8523 | val_loss=0.7300 val_acc=0.8592 | ε=3.8824
Epoch 50: loss=0.7103 acc=0.8529 | val_loss=0.7313 val_acc=0.8593 | ε=3.9170
Epoch 51: loss=0.7131 acc=0.8527 | val_loss=0.7293 val_acc=0.8594 | ε=3.9514
Epoch 52: loss=0.7106 acc=0.8523 | val_loss=0.7282 val_acc=0.8594 | ε=3.9855
Epoch 53: loss=0.7074 acc=0.8527 | val_loss=0.7273 val_acc=0.8595 | ε=4.0195
Epoch 54: loss=0.7112 acc=0.8523 | val_loss=0.7272 val_acc=0.8596 | ε=4.0532
Epoch 55: loss=0.7167 acc=0.8514 | val_loss=0.7287 val_acc=0.8593 | ε=4.0867
Epoch 56: loss=0.7142 acc=0.8523 | val_loss=0.7281 val_acc=0.8593 | ε=4.1201
Epoch 57: loss=0.7098 acc=0.8519 | val_loss=0.7270 val_acc=0.8594 | ε=4.1532
Epoch 58: loss=0.7081 acc=0.8532 | val_loss=0.7276 val_acc=0.8593 | ε=4.1862
Epoch 59: loss=0.7001 acc=0.8540 | val_loss=0.7283 val_acc=0.8593 | ε=4.2190
Epoch 60: loss=0.7133 acc=0.8518 | val_loss=0.7282 val_acc=0.8594 | ε=4.2516
✓ 0.8717 acc | 0.8508 f1 | 494.9s

[7/21]

============================================================
dp_sleep_edf_noise1_0_run1 | sleep-edf | dp | seed=42
============================================================
✓ Using cached sleep-edf
Data: train=(313922, 24) val=(66753, 24) test=(72330, 24)
Model: 12,165 params

DP Training
  Noise multiplier: 1.0
  Max grad norm: 1.0
  Delta: 1e-05
  Epochs: 60

Epoch 01: loss=0.9309 acc=0.7511 | val_loss=0.8215 val_acc=0.8006 | ε=0.1411
Epoch 02: loss=0.8485 acc=0.7889 | val_loss=0.8248 val_acc=0.8201 | ε=0.1947
Epoch 03: loss=0.8268 acc=0.8049 | val_loss=0.7886 val_acc=0.8287 | ε=0.2368
Epoch 04: loss=0.8035 acc=0.8138 | val_loss=0.7710 val_acc=0.8345 | ε=0.2729
Epoch 05: loss=0.7978 acc=0.8178 | val_loss=0.7736 val_acc=0.8364 | ε=0.3050
Epoch 06: loss=0.7883 acc=0.8210 | val_loss=0.7695 val_acc=0.8384 | ε=0.3343
Epoch 07: loss=0.7883 acc=0.8232 | val_loss=0.7921 val_acc=0.8378 | ε=0.3615
Epoch 08: loss=0.7832 acc=0.8247 | val_loss=0.7805 val_acc=0.8400 | ε=0.3870
Epoch 09: loss=0.7770 acc=0.8249 | val_loss=0.7855 val_acc=0.8401 | ε=0.4110
Epoch 10: loss=0.7762 acc=0.8274 | val_loss=0.7665 val_acc=0.8413 | ε=0.4339
Epoch 11: loss=0.7631 acc=0.8283 | val_loss=0.7668 val_acc=0.8429 | ε=0.4557
Epoch 12: loss=0.7646 acc=0.8299 | val_loss=0.7823 val_acc=0.8428 | ε=0.4767
Epoch 13: loss=0.7616 acc=0.8310 | val_loss=0.7603 val_acc=0.8425 | ε=0.4969
Epoch 14: loss=0.7586 acc=0.8304 | val_loss=0.7448 val_acc=0.8434 | ε=0.5164
Epoch 15: loss=0.7512 acc=0.8314 | val_loss=0.7566 val_acc=0.8437 | ε=0.5352
Epoch 16: loss=0.7492 acc=0.8324 | val_loss=0.7503 val_acc=0.8447 | ε=0.5536
Epoch 17: loss=0.7468 acc=0.8308 | val_loss=0.7608 val_acc=0.8433 | ε=0.5714
Epoch 18: loss=0.7355 acc=0.8329 | val_loss=0.7490 val_acc=0.8436 | ε=0.5887
Epoch 19: loss=0.7343 acc=0.8346 | val_loss=0.7469 val_acc=0.8449 | ε=0.6056
Epoch 20: loss=0.7404 acc=0.8346 | val_loss=0.7337 val_acc=0.8464 | ε=0.6221
Epoch 21: loss=0.7331 acc=0.8360 | val_loss=0.7459 val_acc=0.8447 | ε=0.6382
Epoch 22: loss=0.7347 acc=0.8361 | val_loss=0.7513 val_acc=0.8452 | ε=0.6540
Epoch 23: loss=0.7304 acc=0.8379 | val_loss=0.7434 val_acc=0.8460 | ε=0.6695
Epoch 24: loss=0.7345 acc=0.8358 | val_loss=0.7390 val_acc=0.8469 | ε=0.6847
Epoch 25: loss=0.7277 acc=0.8372 | val_loss=0.7335 val_acc=0.8486 | ε=0.6996
Epoch 26: loss=0.7268 acc=0.8384 | val_loss=0.7200 val_acc=0.8481 | ε=0.7142
Epoch 27: loss=0.7267 acc=0.8375 | val_loss=0.7308 val_acc=0.8476 | ε=0.7286
Epoch 28: loss=0.7291 acc=0.8380 | val_loss=0.7360 val_acc=0.8484 | ε=0.7428
Epoch 29: loss=0.7284 acc=0.8384 | val_loss=0.7386 val_acc=0.8477 | ε=0.7567
Epoch 30: loss=0.7231 acc=0.8386 | val_loss=0.7390 val_acc=0.8478 | ε=0.7704
Epoch 31: loss=0.7248 acc=0.8387 | val_loss=0.7304 val_acc=0.8493 | ε=0.7839
Epoch 32: loss=0.7123 acc=0.8408 | val_loss=0.7324 val_acc=0.8486 | ε=0.7972
Epoch 33: loss=0.7213 acc=0.8386 | val_loss=0.7249 val_acc=0.8483 | ε=0.8103
Epoch 34: loss=0.7134 acc=0.8405 | val_loss=0.7278 val_acc=0.8495 | ε=0.8233
Epoch 35: loss=0.7196 acc=0.8402 | val_loss=0.7353 val_acc=0.8490 | ε=0.8361
Epoch 36: loss=0.7127 acc=0.8416 | val_loss=0.7321 val_acc=0.8494 | ε=0.8487
Epoch 37: loss=0.7111 acc=0.8417 | val_loss=0.7363 val_acc=0.8500 | ε=0.8611
Epoch 38: loss=0.7200 acc=0.8403 | val_loss=0.7275 val_acc=0.8502 | ε=0.8735
